order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Introduction,Why Permissions Matter,introduction/why-permissions-matter,door-open,/lessons/introduction/why-permissions-matter,Learn why authorization is critical for web application security and how broken access control became the #1 vulnerability in OWASP's Top 10.
01B,Introduction,Permission Systems Overview,introduction/permission-systems-overview,door-open,/lessons/introduction/permission-systems-overview,"An overview of the major permission system approaches: RBAC, ABAC, and ReBAC, with guidance on when to use each."
01C,Introduction,Starter App Tour,introduction/starter-app-tour,door-open,/lessons/introduction/starter-app-tour,Tour the Document Management System starter app and understand why it currently has no security - anyone can do anything.
02A,Role-Based Access Control,Rbac Fundamentals,rbac/rbac-fundamentals,user-tag,/lessons/rbac/rbac-fundamentals,"Understand the core concepts of Role-Based Access Control: roles, permissions, and how they map together."
02B,Role-Based Access Control,Defining Roles and Permissions,rbac/defining-roles-and-permissions,user-tag,/lessons/rbac/defining-roles-and-permissions,Create the role and permission type definitions in TypeScript that will be the foundation of our authorization system.
02C,Role-Based Access Control,Backend Middleware,rbac/backend-middleware,user-tag,/lessons/rbac/backend-middleware,Build Express middleware that checks user roles before allowing access to protected routes.
02D,Role-Based Access Control,Frontend Permission Checks,rbac/frontend-permission-checks,user-tag,/lessons/rbac/frontend-permission-checks,"Add role-based UI controls in React to show, hide, and disable elements based on user permissions."
02E,Role-Based Access Control,Mistake Client Side Only,rbac/mistake-client-side-only,user-tag,/lessons/rbac/mistake-client-side-only,See what happens when you only check permissions on the frontend - and why backend validation is essential.
02F,Role-Based Access Control,Rbac Limitations,rbac/rbac-limitations,user-tag,/lessons/rbac/rbac-limitations,Understand the limitations of pure RBAC and when you need to add attribute-based rules.
03A,Attribute-Based Access Control,Abac Fundamentals,abac/abac-fundamentals,sliders-h,/lessons/abac/abac-fundamentals,"Learn the core concepts of ABAC: attributes, policies, and how to make context-aware permission decisions."
03B,Attribute-Based Access Control,Ownership Permissions,abac/ownership-permissions,sliders-h,/lessons/abac/ownership-permissions,Implement ownership checks so editors can only edit documents they created.
03C,Attribute-Based Access Control,Mistake Id Enumeration,abac/mistake-id-enumeration,sliders-h,/lessons/abac/mistake-id-enumeration,Demo of ID enumeration attack and how to prevent users from accessing resources by guessing IDs.
03D,Attribute-Based Access Control,Organization Scoping,abac/organization-scoping,sliders-h,/lessons/abac/organization-scoping,Add organization-level isolation so users can only see and interact with their organization's data.
03E,Attribute-Based Access Control,Mistake Mass Assignment,abac/mistake-mass-assignment,sliders-h,/lessons/abac/mistake-mass-assignment,Demo of mass assignment vulnerability where users can modify fields they shouldn't have access to.
